# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 67.0701 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358713180070e-02       2.382470256025e+04 
       1.371677083462e-02       2.386504936666e+04 
       1.384644625483e-02       2.390332766419e+04 
       1.397615818245e-02       2.393956579653e+04 
       1.410590676156e-02       2.397378755218e+04 
       1.423569215884e-02       2.400600569579e+04 
       1.436551456327e-02       2.403626452999e+04 
       1.449537418582e-02       2.406458454445e+04 
       1.462527125920e-02       2.409098839668e+04 
       1.475520603762e-02       2.411549542663e+04 
       1.488517879659e-02       2.413813094383e+04 
       1.501518983276e-02       2.415893037860e+04 
       1.514523946377e-02       2.417790385975e+04 
       1.527532802813e-02       2.419508417248e+04 
       1.540545588512e-02       2.421048060777e+04 
       1.553562341474e-02       2.422413944459e+04 
       1.566583101763e-02       2.423606106250e+04 
       1.579607911507e-02       2.424628945290e+04 
       1.592636814897e-02       2.425482827591e+04 
       1.605669858189e-02       2.426170586487e+04 
       1.618707089705e-02       2.426695200714e+04 
       1.631748559843e-02       2.427058608636e+04 
       1.644794321084e-02       2.427261303619e+04 
       1.657844427997e-02       2.427307676354e+04 
       1.670898937256e-02       2.427199992323e+04 
       1.683957907651e-02       2.426936616135e+04 
       1.697021400101e-02       2.426525788957e+04 
       1.710089477675e-02       2.425965033094e+04 
       1.723162205607e-02       2.425257588777e+04 
       1.736239651316e-02       2.424406071014e+04 
       1.749321884433e-02       2.423411918431e+04 
       1.762408976818e-02       2.422277697129e+04 
       1.775501002590e-02       2.421003648215e+04 
       1.788598038150e-02       2.419595362513e+04 
       1.801700162213e-02       2.418051644747e+04 
       1.814807455838e-02       2.416375217477e+04 
       1.827920002459e-02       2.414568755915e+04 
       1.841037887917e-02       2.412634569050e+04 
       1.854161200498e-02       2.410573494685e+04 
       1.867290030969e-02       2.408389189111e+04 
       1.880424472616e-02       2.406079505269e+04 
       1.893564621286e-02       2.403650391770e+04 
       1.906710575427e-02       2.401103603685e+04 
       1.919862436134e-02       2.398438530224e+04 
       1.933020307192e-02       2.395659979416e+04 
       1.946184295126e-02       2.392764395690e+04 
       1.959354509249e-02       2.389758878565e+04 
       1.972531061714e-02       2.386646536423e+04 
       1.985714067564e-02       2.383426746447e+04 
       1.998903644791e-02       2.380097617018e+04 
       2.012099914388e-02       2.376665880766e+04 
       2.025303000415e-02       2.373132892147e+04 
       2.038513030050e-02       2.369498246494e+04 
       2.051730133661e-02       2.365764748798e+04 
       2.064954444865e-02       2.361932658397e+04 
       2.078186100597e-02       2.358005832555e+04 
       2.091425241180e-02       2.353989005479e+04 
       2.104672010396e-02       2.349874713704e+04 
       2.117926555559e-02       2.345671236659e+04 
       2.131189027593e-02       2.341379704117e+04 
       2.144459581108e-02       2.337002740255e+04 
       2.157738374484e-02       2.332539875262e+04 
       2.171025569955e-02       2.327993288880e+04 
       2.184321333690e-02       2.323360213234e+04 
       2.197625835891e-02       2.318648627700e+04 
       2.210939250875e-02       2.313863778385e+04 
       2.224261757177e-02       2.308995211423e+04 
       2.237593537644e-02       2.304050888438e+04 
       2.250934779535e-02       2.299035145683e+04 
       2.264285674627e-02       2.293942895896e+04 
       2.277646419323e-02       2.288780617818e+04 
       2.291017214757e-02       2.283547616498e+04 
       2.304398266917e-02       2.278247473030e+04 
       2.317789786752e-02       2.272877839463e+04 
       2.331191990303e-02       2.267445185915e+04 
       2.344605098823e-02       2.261943089417e+04 
       2.358029338906e-02       2.256384507148e+04 
       2.371464942620e-02       2.250761660093e+04 
       2.384912147648e-02       2.245077854566e+04 
       2.398371197425e-02       2.239333872444e+04 
       2.411842341285e-02       2.233530864132e+04 
       2.425325834617e-02       2.227675846028e+04 
       2.438821939011e-02       2.221766183343e+04 
       2.452330922429e-02       2.215798649597e+04 
       2.465853059364e-02       2.209783073621e+04 
       2.479388631014e-02       2.203712508947e+04 
       2.492937925458e-02       2.197593897705e+04 
       2.506501237839e-02       2.191428619878e+04 
       2.520078870554e-02       2.185215408298e+04 
       2.533671133445e-02       2.178946997505e+04 
       2.547278344005e-02       2.172642973493e+04 
       2.560900827585e-02       2.166291793887e+04 
       2.574538917606e-02       2.159902954739e+04 
       2.588192955785e-02       2.153465624965e+04 
       2.601863292366e-02       2.146994028916e+04 
       2.615550286351e-02       2.140480815624e+04 
       2.629254305755e-02       2.133932659211e+04 
       2.642975727855e-02       2.127340764537e+04 
       2.656714939453e-02       2.120717978894e+04 
       2.670472337153e-02       2.114057225489e+04 
       2.684248327639e-02       2.107368419512e+04 
       2.698043327971e-02       2.100637708354e+04 
       2.711857765883e-02       2.093883362348e+04 
       2.725692080101e-02       2.087098079745e+04 
       2.739546720667e-02       2.080279585112e+04 
       2.753422149274e-02       2.073432718548e+04 
       2.767318839618e-02       2.066561511730e+04 
       2.781237277757e-02       2.059663189775e+04 
       2.795177962488e-02       2.052736757019e+04 
       2.809141405740e-02       2.045783456895e+04 
       2.823128132971e-02       2.038813276864e+04 
       2.837138683595e-02       2.031815820650e+04 
       2.851173611415e-02       2.024800219444e+04 
       2.865233485074e-02       2.017758652038e+04 
       2.879318888530e-02       2.010701612875e+04 
       2.893430421539e-02       2.003618760668e+04 
       2.907568700168e-02       1.996524568342e+04 
       2.921734357321e-02       1.989408205934e+04 
       2.935928043289e-02       1.982275506188e+04 
       2.950150426322e-02       1.975127790512e+04 
       2.964402193225e-02       1.967962332085e+04 
       2.978684049975e-02       1.960783111103e+04 
       2.992996722371e-02       1.953588684372e+04 
       3.007340956701e-02       1.946382970151e+04 
       3.021717520446e-02       1.939169624464e+04 
       3.036127203011e-02       1.931934294630e+04 
       3.050570816484e-02       1.924695482654e+04 
       3.065049196435e-02       1.917444786436e+04 
       3.079563202742e-02       1.910185129087e+04 
       3.094113720456e-02       1.902908808436e+04 
       3.108701660712e-02       1.895631417616e+04 
       3.123327961667e-02       1.888347800249e+04 
       3.137993589491e-02       1.881058166308e+04 
       3.152699539401e-02       1.873752317934e+04 
       3.167446836738e-02       1.866444172857e+04 
       3.182236538101e-02       1.859134541732e+04 
       3.197069732530e-02       1.851817734738e+04 
       3.211947542745e-02       1.844498769845e+04 
       3.226871126444e-02       1.837165378373e+04 
       3.241841677669e-02       1.829840462052e+04 
       3.256860428230e-02       1.822511052180e+04 
