# Matter power spectrum P(k) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.356141381467e-02       2.390113383263e+04 
       1.369086550175e-02       2.394155723531e+04 
       1.382035355412e-02       2.397989737450e+04 
       1.394987809055e-02       2.401619298004e+04 
       1.407943925283e-02       2.405045523922e+04 
       1.420903720536e-02       2.408272592825e+04 
       1.433867213485e-02       2.411300899092e+04 
       1.446834425002e-02       2.414135740641e+04 
       1.459805378132e-02       2.416776970865e+04 
       1.472780098073e-02       2.419228233496e+04 
       1.485758612153e-02       2.421491821124e+04 
       1.498740949814e-02       2.423570757216e+04 
       1.511727142599e-02       2.425466688482e+04 
       1.524717224134e-02       2.427182086157e+04 
       1.537711230126e-02       2.428719264648e+04 
       1.550709198350e-02       2.430080249050e+04 
       1.563711168646e-02       2.431268258777e+04 
       1.576717182917e-02       2.432285920093e+04 
       1.589727285128e-02       2.433132968430e+04 
       1.602741521308e-02       2.433815333673e+04 
       1.615759939550e-02       2.434332197657e+04 
       1.628782590022e-02       2.434687610914e+04 
       1.641809524972e-02       2.434882417065e+04 
       1.654840798736e-02       2.434920063297e+04 
       1.667876467752e-02       2.434801571785e+04 
       1.680916590569e-02       2.434528471443e+04 
       1.693961227869e-02       2.434105394651e+04 
       1.707010442474e-02       2.433533691202e+04 
       1.720064299374e-02       2.432814623096e+04 
       1.733122865739e-02       2.431949845081e+04 
       1.746186210947e-02       2.430942398379e+04 
       1.759254406602e-02       2.429793426451e+04 
       1.772327526565e-02       2.428506161155e+04 
       1.785405646974e-02       2.427082577400e+04 
       1.798488846279e-02       2.425525229335e+04 
       1.811577205269e-02       2.423832115419e+04 
       1.824670807101e-02       2.422009063397e+04 
       1.837769737341e-02       2.420057885133e+04 
       1.850874083990e-02       2.417979304543e+04 
       1.863983937529e-02       2.415775323033e+04 
       1.877099390952e-02       2.413448709344e+04 
       1.890220539809e-02       2.411001211931e+04 
       1.903347482244e-02       2.408433843674e+04 
       1.916480319047e-02       2.405749466365e+04 
       1.929619153689e-02       2.402948312802e+04 
       1.942764092378e-02       2.400036340623e+04 
       1.955915244102e-02       2.397009616651e+04 
       1.969072720682e-02       2.393875505707e+04 
       1.982236636827e-02       2.390630595901e+04 
       1.995407110185e-02       2.387279726771e+04 
       2.008584261401e-02       2.383826449298e+04 
       2.021768214177e-02       2.380269844888e+04 
       2.034959095330e-02       2.376611852533e+04 
       2.048157034855e-02       2.372853738314e+04 
